taskId,storeName,storeId,tag
6c3d4e73-c52c-476f-8856-ef87ea2ac0f8,蔬乡门递-蛟龙港店,11653281,null
6c3d4e73-c52c-476f-8856-ef87ea2ac0f8,帮购达（青年路市场店）,12965742,null
6c3d4e73-c52c-476f-8856-ef87ea2ac0f8,蔬乡门递-双流店,11775623,null
6c3d4e73-c52c-476f-8856-ef87ea2ac0f8,布岛途途生鲜（九江仓）,12529860,null
7e714425-d82e-4707-b305-fbbb9a75edb5,沃尔玛-双流店,11653732,null
7e714425-d82e-4707-b305-fbbb9a75edb5,大润发(东升店),13016440,null
7e714425-d82e-4707-b305-fbbb9a75edb5,谊品生鲜（锦绣华都店）,12280859,null
7e714425-d82e-4707-b305-fbbb9a75edb5,邻我超市(香榭美玲站),12300975,null
7e714425-d82e-4707-b305-fbbb9a75edb5,邻里优选超市香楠店,12435981,null
7e714425-d82e-4707-b305-fbbb9a75edb5,乐友成都双流欧尚店,11889285,乐友（双流欧尚店）
7e714425-d82e-4707-b305-fbbb9a75edb5,天天酒水（金凤街）,12682765,null
7e714425-d82e-4707-b305-fbbb9a75edb5,贝贝熊（成都双流CD15店）,12350510,null
7e714425-d82e-4707-b305-fbbb9a75edb5,大润发代购（东升）,12423684,null
7e714425-d82e-4707-b305-fbbb9a75edb5,乐享购精选-东升站,13010879,null
7e714425-d82e-4707-b305-fbbb9a75edb5,菜妈妈生鲜-双流菜市场,11660836,null
7e714425-d82e-4707-b305-fbbb9a75edb5,宁儿超市,12597260,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,萝卜青菜-蛟龙店,11741433,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,屈臣氏-成都双流万达广场店,11929384,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,迪卡侬(成都双流万达店),12428843,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,永辉超市-海滨城购物中心店,11667876,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,菜老包（蛟龙农贸市场店）,12565511,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,Apple授权专营店-武侯吾悦,12204413,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,Apple授权专营店-双流优品道,12246100,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,惠优乐超市(双流店),12904106,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,华硕电脑成都特约经销商,12504156,null
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,良品铺子(成都双流万达店),11845900,null
92fd716f-eb36-4d87-90ab-0a0674d6c350,金拍档商超店-隔日达,12566358,null
92fd716f-eb36-4d87-90ab-0a0674d6c350,三点一刻烘焙屋（沭阳店）,12227638,null
92fd716f-eb36-4d87-90ab-0a0674d6c350,巡百达-宿迁站,13009651,null
e98f8186-2927-4876-b3db-c275ec6a8f5e,淮安市淮阴区1仓,12928598,null
e98f8186-2927-4876-b3db-c275ec6a8f5e,甄选邮购-淮安站,12948978,null
e98f8186-2927-4876-b3db-c275ec6a8f5e,百货帮购配送站-淮安站,12823210,null
e98f8186-2927-4876-b3db-c275ec6a8f5e,小鲸鱼生活馆-盐城市快递店,12959796,null
e98f8186-2927-4876-b3db-c275ec6a8f5e,美妆护肤景天馆-沭阳站,12618394,null
628c9c4b-d79e-4ff0-858c-2dc57962212b,大润发代购-沭阳站,12485286,null
628c9c4b-d79e-4ff0-858c-2dc57962212b,货多便利超市(沭阳站),12331465,null
628c9c4b-d79e-4ff0-858c-2dc57962212b,大润发代购-沭阳1仓,12513512,null
628c9c4b-d79e-4ff0-858c-2dc57962212b,都行零食(沭阳站),12331911,null
628c9c4b-d79e-4ff0-858c-2dc57962212b,仓储配送网点-宿迁站,12625746,null
628c9c4b-d79e-4ff0-858c-2dc57962212b,乐享购精选-沭阳站,13010756,null
9974f651-3197-42c2-984d-48644e122f07,阳澄湖大闸蟹宿迁市站点,12991156,null
9974f651-3197-42c2-984d-48644e122f07,查干湖有机鱼,12606345,null
9974f651-3197-42c2-984d-48644e122f07,金麦优品（淮安金地配送仓）,12984761,null
9974f651-3197-42c2-984d-48644e122f07,欧派家居橱柜宿迁沭阳站,12876347,null
9974f651-3197-42c2-984d-48644e122f07,淮安江淮仓,12505992,null
9974f651-3197-42c2-984d-48644e122f07,新铺子-欧中广场配送点,12840559,null
9974f651-3197-42c2-984d-48644e122f07,早讯-淮安清江浦仓,12981345,null
9974f651-3197-42c2-984d-48644e122f07,小天才授权-沭阳纳康曼通讯,12793037,null
9974f651-3197-42c2-984d-48644e122f07,樱花智能锁宿迁市服务站,13006960,null
9974f651-3197-42c2-984d-48644e122f07,高端家电淮安配送点,13056650,null
67a5cbdd-ff63-4b2b-a670-6f3cc776d826,华东利群沭阳一店,12270853,null
af6fab2f-6564-476d-b5e6-4484eb351d94,邻我超市(沭阳站),12330968,null
af6fab2f-6564-476d-b5e6-4484eb351d94,大润发代购-台州南路仓,12513511,大润发（台州南路店）
af6fab2f-6564-476d-b5e6-4484eb351d94,帮购达（百果园帝景华府店）,13038796,null
f83ceb4d-c114-486d-a98d-4416f2b59cb8,大润发(沭阳店),13016210,null
f83ceb4d-c114-486d-a98d-4416f2b59cb8,孩子王-沭阳万达店,12082168,孩子王（万达店）
f83ceb4d-c114-486d-a98d-4416f2b59cb8,华联乐购超市（宿迁沭阳店）,12972824,null
